Date,Hong Kong Residents,Mainland Visitors,Other Visitors,Total,Year,Month,DayOfWeek,DayName,Quarter,Is_Weekend,Is_HK_Holiday,Is_ML_Holiday,Is_CNY,Is_GoldenWeek,Is_Easter,Is_Both_Holiday,Is_Any_Holiday,Is_Holiday,Traffic_Level,Traffic_Binary
2023-01-08,82047,13374,13086,108507,2023,1,6,Sunday,1,1,0,0,0,0,0,0,0,0,Low,0
2023-01-09,63805,10494,10833,85132,2023,1,0,Monday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-10,67398,11132,11543,90073,2023,1,1,Tuesday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-11,67252,12567,12526,92345,2023,1,2,Wednesday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-12,72996,14736,13225,100957,2023,1,3,Thursday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-13,83542,16121,14395,114058,2023,1,4,Friday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-14,91861,17480,17282,126623,2023,1,5,Saturday,1,1,0,0,0,0,0,0,0,0,Low,0
2023-01-15,101274,19335,17976,138585,2023,1,6,Sunday,1,1,0,0,0,0,0,0,0,0,Low,0
2023-01-16,88040,17736,13778,119554,2023,1,0,Monday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-17,96328,19140,13108,128576,2023,1,1,Tuesday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-18,122280,22757,14209,159246,2023,1,2,Wednesday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-19,137126,24414,15428,176968,2023,1,3,Thursday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-20,148217,24643,16245,189105,2023,1,4,Friday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-21,137713,15384,16152,169249,2023,1,5,Saturday,1,1,0,1,0,0,0,0,1,1,Low,0
2023-01-22,126470,15947,14459,156876,2023,1,6,Sunday,1,1,1,1,1,0,0,1,1,1,Low,0
2023-01-23,145715,23540,18327,187582,2023,1,0,Monday,1,0,1,1,1,0,0,1,1,1,Low,0
2023-01-24,160266,28460,21923,210649,2023,1,1,Tuesday,1,0,1,1,1,0,0,1,1,1,Low,0
2023-01-25,185287,30040,20792,236119,2023,1,2,Wednesday,1,0,1,1,1,0,0,1,1,1,Low,0
2023-01-26,161410,34967,20186,216563,2023,1,3,Thursday,1,0,0,1,0,0,0,0,1,1,Low,0
2023-01-27,158838,33796,21498,214132,2023,1,4,Friday,1,0,0,1,0,0,0,0,1,1,Low,0
2023-01-28,182039,27103,22336,231478,2023,1,5,Saturday,1,1,0,0,0,0,0,0,0,0,Low,0
2023-01-29,222068,26125,19492,267685,2023,1,6,Sunday,1,1,0,0,0,0,0,0,0,0,Low,0
2023-01-30,164671,26920,15443,207034,2023,1,0,Monday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-01-31,143688,27461,13547,184696,2023,1,1,Tuesday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-02-01,119697,28620,13857,162174,2023,2,2,Wednesday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-02-02,106173,30314,14851,151338,2023,2,3,Thursday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-02-03,120042,32665,17483,170190,2023,2,4,Friday,1,0,0,0,0,0,0,0,0,0,Low,0
2023-02-04,125762,33213,22201,181176,2023,2,5,Saturday,1,1,0,0,0,0,0,0,0,0,Low,0
2023-02-05,124801,26042,22114,172957,2023,2,6,Sunday,1,1,0,0,0,0,0,0,0,0,Low,0
